,AT,V,AP,RH,PE
23920,32.95,67.9,1005.88,45.15,425.89
23921,29.72,74.78,1009.32,55.25,438.19
23922,18.06,50.16,1009.52,100.09,450.53
23923,13.99,36.71,1013.43,83.13,473.2
23924,11.95,39.82,1013.4,92.51,474.56
23925,18.34,65.94,1013.27,85.42,451.29
23926,21.47,70.32,1011.72,88.36,440.0
23927,16.46,61.27,1020.02,74.54,456.64
23928,25.46,70.32,1010.65,64.7,433.08
23929,5.11,39.4,1012.16,92.14,488.56
23930,31.09,64.05,1011.32,61.14,440.62
23931,8.91,43.52,1022.78,98.0,478.38
23932,27.52,66.48,1004.99,52.54,429.67
23933,10.77,41.54,1019.94,71.13,477.81
23934,22.7,60.84,1019.15,71.48,438.59
23935,19.83,63.94,1019.81,75.05,448.03
23936,5.23,40.78,1025.13,92.74,483.12
23937,19.65,45.01,1014.18,56.77,451.63
23938,30.71,68.24,1006.15,34.15,429.41
23939,15.48,47.83,1004.88,81.68,463.67
23940,12.99,44.0,1025.22,90.27,470.93
23941,12.1,40.27,1005.53,68.37,477.61
23942,17.51,53.16,1013.13,82.86,457.45
23943,2.64,39.64,1011.02,85.24,481.29
23944,21.41,62.39,1007.84,88.83,452.8
23945,6.71,40.72,1022.78,80.69,483.11
23946,28.67,66.25,1007.96,76.36,434.73
23947,15.52,36.99,1006.86,89.7,467.9
23948,20.45,69.45,1012.53,91.81,441.83
23949,17.29,44.63,1019.6,41.98,460.66
23950,20.14,46.93,1014.66,64.22,453.99
23951,6.97,41.26,1010.6,96.88,484.71
23952,22.12,47.93,1005.5,84.47,443.41
23953,15.28,48.14,1012.55,69.65,460.75
23954,28.97,64.44,1014.55,54.67,438.08
23955,12.61,41.58,1020.17,85.18,463.36
23956,10.32,42.28,1008.82,75.66,481.09
23957,29.42,71.32,1002.26,67.13,437.47
23958,15.79,44.89,1010.19,84.61,458.09
23959,24.69,59.92,1010.12,80.58,436.33
23960,15.02,42.07,1017.89,83.68,460.82
23961,23.14,63.94,1017.49,53.19,446.57
23962,12.03,41.58,1015.09,90.43,464.02
23963,5.66,40.0,1022.08,93.03,475.54
23964,27.77,63.87,1017.97,38.77,444.06
23965,6.58,40.67,1020.18,71.07,494.84
23966,21.31,50.78,1008.68,85.28,445.17
23967,32.51,71.22,1005.62,47.6,433.76
23968,19.81,43.56,1013.39,38.13,460.59
23969,11.2,42.02,999.99,96.69,472.27
23970,26.05,73.88,1005.67,82.08,439.96
23971,26.71,68.3,1015.07,62.7,436.66
23972,16.71,42.99,1007.72,75.35,465.09
23973,11.73,37.92,1008.24,65.13,472.04
23974,10.5,40.8,1024.06,76.05,482.85
23975,9.53,40.23,1017.74,89.05,484.0
23976,31.46,71.29,1008.57,41.79,430.8
23977,3.73,39.42,1024.4,82.42,488.58
23978,23.71,68.63,1014.54,46.04,449.41
23979,14.68,58.2,1018.5,83.3,458.51
23980,15.25,41.17,1016.0,62.05,468.76
23981,19.8,51.19,1008.25,91.98,446.66
23982,26.14,69.14,1007.1,88.27,439.03
23983,27.24,66.75,1017.78,69.6,433.65
23984,13.62,42.34,1017.87,89.67,464.79
23985,9.41,39.61,1016.14,78.38,477.34
23986,26.62,76.2,1006.06,69.13,437.81
23987,25.28,49.5,1013.95,52.79,454.01
23988,12.93,45.51,1015.27,87.27,469.83
23989,22.99,56.57,1013.93,78.77,445.44
23990,17.98,56.85,1012.28,84.52,448.71
23991,29.0,69.13,1001.22,52.96,425.5
23992,17.7,49.21,1015.16,67.91,455.97
23993,30.93,69.98,1013.33,62.1,432.25
23994,9.96,42.03,1017.78,82.39,477.85
23995,21.79,61.45,1011.11,91.78,446.99
23996,21.99,51.19,1009.19,82.58,446.93
23997,25.49,47.45,1007.89,57.04,444.52
23998,10.31,40.67,1017.61,69.61,485.25
23999,11.35,40.73,1019.37,96.05,472.32
24000,25.3,71.58,1010.18,87.36,433.97
24001,22.84,71.25,1001.9,96.45,433.85
24002,30.7,69.59,1008.03,66.78,433.4
24003,30.68,71.25,999.98,68.99,433.47
24004,27.55,68.08,1011.42,60.71,432.59
24005,31.88,67.32,1013.64,35.1,436.64
24006,33.59,79.05,1007.79,63.55,436.51
24007,26.94,62.91,1011.68,41.3,449.1
24008,18.4,44.06,1017.36,70.88,456.8
24009,33.95,68.14,1002.33,48.98,427.25
24010,10.16,40.8,1028.13,86.39,477.49
24011,25.28,70.32,1006.91,81.74,431.43
24012,22.1,71.29,1008.2,75.38,442.35
24013,6.74,36.08,1020.36,86.98,484.18
24014,8.56,40.71,1021.27,95.87,471.58
24015,23.6,60.08,1017.51,63.02,451.97
24016,12.9,44.63,1020.72,89.51,467.41
24017,33.43,66.44,1010.29,53.45,433.01
24018,24.94,74.33,1014.3,75.34,435.21
24019,23.51,57.32,1012.55,53.6,444.58
24020,20.03,66.86,1013.05,64.59,450.93
24021,22.75,58.86,1016.0,67.34,448.32
24022,13.69,34.03,1018.45,65.76,469.12
24023,13.52,40.83,1008.31,84.14,471.95
24024,19.08,41.1,1001.96,62.77,458.94
24025,23.67,71.77,1004.76,86.13,434.47
24026,14.77,48.06,1010.92,69.81,461.52
24027,24.8,61.02,1009.86,71.75,438.96
24028,6.65,40.77,1021.79,88.84,482.9
24029,32.21,70.94,1006.76,47.56,430.06
24030,25.89,59.22,1013.4,80.17,445.75
24031,31.8,69.05,1000.77,49.82,426.5
24032,25.66,71.77,1006.76,84.76,429.25
24033,33.15,70.4,1003.72,53.98,430.15
24034,26.78,66.54,1010.14,49.01,440.0
24035,27.02,71.77,1006.38,72.1,428.1
24036,8.07,43.41,1016.02,76.26,467.56
24037,21.93,60.84,1017.8,82.61,443.89
24038,23.08,61.86,1013.44,84.64,441.44
24039,25.52,67.17,1007.33,85.12,440.02
24040,26.63,74.16,1009.72,83.26,436.03
24041,8.82,43.56,1014.95,81.54,482.71
24042,29.12,67.83,1008.05,46.86,432.46
24043,20.76,51.19,1009.0,87.23,445.0
24044,23.16,57.69,1007.91,84.7,438.29
24045,11.84,40.05,1014.54,86.78,473.82
24046,6.76,39.81,1017.11,87.9,483.16
24047,12.11,38.28,1013.56,93.21,469.93
24048,12.95,41.23,993.74,96.35,469.05
24049,3.2,41.31,997.67,98.84,489.86
24050,14.92,41.16,1004.83,83.7,465.72
24051,27.44,58.9,1003.86,66.74,442.19
24052,10.26,39.13,1010.94,87.78,474.16
24053,24.4,71.14,1009.7,59.26,436.68
24054,20.98,42.23,1012.9,70.7,462.27
24055,27.56,68.08,1010.8,59.18,433.95
24056,18.73,40.12,1013.19,74.12,454.71
24057,12.95,40.1,1015.31,86.01,471.07
24058,13.53,42.03,1017.52,84.02,466.71
24059,6.93,43.13,1018.61,88.31,486.94
24060,20.12,56.53,1020.34,75.59,454.54
24061,9.14,42.44,1014.48,92.03,481.46
24062,22.1,68.63,1015.19,59.05,449.54
24063,27.75,65.34,1014.8,45.91,440.83
24064,15.18,43.67,1011.59,92.58,467.74
24065,23.81,60.08,1017.29,62.66,450.33
24066,25.03,47.93,1003.02,62.89,443.55
24067,23.04,59.43,1010.23,68.99,442.99
24068,15.43,38.58,1016.58,81.17,463.44
24069,11.92,40.62,1015.91,55.4,464.9
24070,21.89,63.94,1019.55,55.09,447.74
24071,10.15,39.22,1020.09,68.75,474.87
24072,17.19,43.14,1014.34,68.62,464.72
